time,left_joint_0,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_0,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7
1776326271.785513,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0
1776326271.786512,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0
1776326272.296134,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0
1776326272.2966764,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0
1776326272.5361812,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0
1776326272.5365813,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0
1776326272.7764647,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0
1776326272.7776785,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0
1776326273.0080144,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0
1776326273.0084615,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0
1776326273.2444677,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0
1776326273.2454731,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0014,0.0,0.0,0.0,0.0
