joint,velocity_rms,acceleration_rms,jerk_rms,jitter_rms,high_freq_ratio,extrema_count,vel_zero_crossings
left_joint_0,0.09274847502698118,0.15136355987858957,1.0741303554894268,0.004726635162810775,6.856977211340521e-05,0,8
left_joint_1,0.12403634475110761,0.26364865757667166,1.850034255512405,0.00836953407471457,0.00012897381560596924,0,10
left_joint_2,0.10475491645543744,0.19995219840523598,1.4556596933597594,0.006142543680853424,7.297401516995548e-05,0,10
left_joint_3,0.11575921142481932,0.4665181126308475,3.1139609332636202,0.015006204811132282,0.004334904841941918,1,12
left_joint_4,0.050877535965194016,0.10476757127585416,0.6555557750137417,0.003774052695805859,0.0004821370342931217,0,12
left_joint_5,0.01721536899204667,0.03598394685091959,0.22820752084029355,0.0012693754619044744,0.0002917039094997582,0,13
left_joint_6,0.010958776067054709,0.03226008910589217,0.19540266792401736,0.0011112078850384931,0.0004602207069082987,0,13
left_joint_7,0.011079106876898554,0.03223852068955732,0.19466451497142986,0.00111395447709791,0.0004452807612272516,0,13
right_joint_0,0.12270876342051236,0.2735491840554621,1.843317257486484,0.009127585588985241,9.180000366486353e-05,0,10
right_joint_1,0.1056089508339296,0.18425240658642825,1.2414834448329295,0.006118000579881536,4.1353901603217874e-05,0,9
right_joint_2,0.12522115736129538,0.19454380840468394,1.3622067517993728,0.006281788512975493,2.2600969134856235e-05,0,8
right_joint_3,0.08752805115198642,0.18384039733077737,1.2078731649490444,0.006371454710986337,0.00011077258547866479,0,13
right_joint_4,0.13519886300812503,0.25737117053793923,1.764367828427948,0.00862666977974744,5.015987788664442e-05,0,6
right_joint_5,0.07482646910973444,0.1510491828151308,0.9691589461502746,0.005352907897543379,0.0001129600963168026,0,10
right_joint_6,0.011566447525712889,0.03339717885486771,0.1969942858285508,0.001169658130017791,0.0004320773513986612,0,13
right_joint_7,0.011316616388504232,0.03300850728385849,0.19581574177702749,0.0011502760991632195,0.0004308956552640631,0,15
